level,k,metric,euclidean,hyperbolic,difference
1,5,precision,0.0000,0.0000,0.0000
1,5,hierarchical_fidelity,0.0000,0.0000,0.0000
1,5,mrr,0.0000,0.0000,0.0000
1,10,precision,0.0000,0.0000,0.0000
1,10,hierarchical_fidelity,0.0000,0.0000,0.0000
1,10,mrr,0.0000,0.0000,0.0000
1,15,precision,0.0000,0.0000,0.0000
1,15,hierarchical_fidelity,0.0000,0.0000,0.0000
1,15,mrr,0.0000,0.0000,0.0000
1,20,precision,0.0000,0.0000,0.0000
1,20,hierarchical_fidelity,0.0000,0.0000,0.0000
1,20,mrr,0.0000,0.0000,0.0000
2,5,precision,0.0000,0.0000,0.0000
2,5,hierarchical_fidelity,0.0000,0.0000,0.0000
2,5,mrr,0.0000,0.0000,0.0000
2,10,precision,0.0000,0.0000,0.0000
2,10,hierarchical_fidelity,0.0000,0.0000,0.0000
2,10,mrr,0.0000,0.0000,0.0000
2,15,precision,0.0000,0.0000,0.0000
2,15,hierarchical_fidelity,0.0000,0.0000,0.0000
2,15,mrr,0.0000,0.0000,0.0000
2,20,precision,0.0000,0.0000,0.0000
2,20,hierarchical_fidelity,0.0000,0.0000,0.0000
2,20,mrr,0.0000,0.0000,0.0000
3,5,precision,0.0000,0.0000,0.0000
3,5,hierarchical_fidelity,0.0000,0.0000,0.0000
3,5,mrr,0.0000,0.0000,0.0000
3,10,precision,0.0000,0.0000,0.0000
3,10,hierarchical_fidelity,0.0000,0.0000,0.0000
3,10,mrr,0.0000,0.0000,0.0000
3,15,precision,0.0000,0.0000,0.0000
3,15,hierarchical_fidelity,0.0000,0.0000,0.0000
3,15,mrr,0.0000,0.0000,0.0000
3,20,precision,0.0000,0.0000,0.0000
3,20,hierarchical_fidelity,0.0000,0.0000,0.0000
3,20,mrr,0.0000,0.0000,0.0000
4,5,precision,0.0000,0.0000,0.0000
4,5,hierarchical_fidelity,0.0000,0.0000,0.0000
4,5,mrr,0.0000,0.0000,0.0000
4,10,precision,0.0000,0.0000,0.0000
4,10,hierarchical_fidelity,0.0000,0.0000,0.0000
4,10,mrr,0.0000,0.0000,0.0000
4,15,precision,0.0000,0.0000,0.0000
4,15,hierarchical_fidelity,0.0000,0.0000,0.0000
4,15,mrr,0.0000,0.0000,0.0000
4,20,precision,0.0000,0.0000,0.0000
4,20,hierarchical_fidelity,0.0000,0.0000,0.0000
4,20,mrr,0.0000,0.0000,0.0000
5,5,precision,0.0000,0.0000,0.0000
5,5,hierarchical_fidelity,0.0000,0.0000,0.0000
5,5,mrr,0.0000,0.0000,0.0000
5,10,precision,0.0000,0.0000,0.0000
5,10,hierarchical_fidelity,0.0000,0.0000,0.0000
5,10,mrr,0.0000,0.0000,0.0000
5,15,precision,0.0000,0.0000,0.0000
5,15,hierarchical_fidelity,0.0000,0.0000,0.0000
5,15,mrr,0.0000,0.0000,0.0000
5,20,precision,0.0000,0.0000,0.0000
5,20,hierarchical_fidelity,0.0000,0.0000,0.0000
5,20,mrr,0.0000,0.0000,0.0000
