node_level,k,euclidean_hierarchy_preserved,hyperbolic_hierarchy_preserved
0,5,1.000000,1.000000
0,10,1.000000,1.000000
0,15,1.000000,1.000000
0,20,1.000000,1.000000
1,5,1.000000,1.000000
1,10,0.966667,0.966667
1,15,0.955556,0.955556
1,20,0.966667,0.966667
2,5,0.844444,0.844444
2,10,0.833333,0.844444
2,15,0.807407,0.814815
2,20,0.811111,0.811111
3,5,0.703704,0.688889
3,10,0.662963,0.644444
3,15,0.575309,0.577778
3,20,0.531481,0.520370
4,5,0.570370,0.558025
4,10,0.469136,0.477778
4,15,0.412346,0.404938
4,20,0.374691,0.372840
5,5,0.576132,0.576132
5,10,0.493004,0.495062
5,15,0.422771,0.422497
5,20,0.375514,0.370576
